stock,fc_date,future_days,future_low,reachability,0.5%_up,uptonow_epochs
sh999999,2020-12-29,2,14.806313514709473,50.82,63.19,9948
sh999999,2020-12-29,2,15.514001846313475,68.13,75.96,9963
sh999999,2020-12-29,2,15.610868453979492,46.57,59.89,9978
sh999999,2020-12-29,2,15.307516098022461,60.16,69.78,9993
sh999999,2020-12-29,2,15.1529541015625,47.05,59.26,10008
sh999999,2020-12-29,2,15.200176239013672,47.46,60.91,10023
sh999999,2020-12-29,2,14.887398719787598,50.62,62.0,10038
sh999999,2020-12-29,2,14.94700527191162,49.38,62.55,10053
sh999999,2020-12-29,2,15.173392295837402,51.03,62.83,10068
sh999999,2020-12-29,2,14.940375328063965,62.88,72.05,10083
sh999999,2020-12-29,2,14.542190551757812,61.64,71.1,10098
