stock,fc_date,T+1_lowest,reachability,T+1_lowest_+0.5%,reachability_2,uptonow_epochs
sh999999,2020-12-28,28.170000076293945,46.1,28.31,54.17,226
sh999999,2020-12-28,28.65999984741211,53.36,28.8,62.9,266
sh999999,2020-12-28,28.920000076293945,59.73,29.06,69.4,306
sh999999,2020-12-28,28.739999771118164,57.99,28.88,66.98,346
sh999999,2020-12-28,28.979999542236328,62.15,29.12,69.4,386
sh999999,2020-12-28,29.29999923706055,31.41,29.45,42.28,426
sh999999,2020-12-28,28.70000076293945,45.5,28.84,56.91,466
sh999999,2020-12-28,28.649999618530273,50.67,28.79,61.13,506
sh999999,2020-12-28,29.040000915527344,49.2,29.18,58.85,546
sh999999,2020-12-28,29.57999992370605,60.59,29.73,68.63,586
sh999999,2020-12-28,30.88999938964844,41.42,31.05,54.16,626
sh999999,2020-12-28,30.10000038146973,49.73,30.25,58.45,666
sh999999,2020-12-28,30.13999938964844,40.96,30.29,51.14,706
sh999999,2020-12-28,30.04999923706055,63.32,30.2,70.68,746
sh999999,2020-12-28,29.21999931335449,58.63,29.36,67.87,786
sh999999,2020-12-28,29.520000457763672,36.01,29.66,48.06,826
sh999999,2020-12-28,28.93000030517578,68.81,29.08,75.37,866
sh999999,2020-12-28,28.65999984741211,50.0,28.81,60.43,906
sh999999,2020-12-28,28.09000015258789,53.07,28.23,62.97,946
sh999999,2020-12-28,28.45000076293945,56.55,28.59,64.84,986
sh999999,2020-12-28,28.32999992370605,38.64,28.47,53.21,1026
sh999999,2020-12-28,28.11000061035156,44.12,28.25,56.02,1066
sh999999,2020-12-28,28.31999969482422,59.41,28.46,68.36,1106
sh999999,2020-12-28,28.540000915527344,59.55,28.69,68.49,1146
sh999999,2020-12-28,28.309999465942386,69.43,28.46,77.17,1186
sh999999,2020-12-28,27.51000022888184,59.55,27.64,67.69,1226
sh999999,2020-12-28,27.709999084472656,71.3,27.85,77.7,1266
sh999999,2020-12-28,28.06999969482422,60.22,28.21,68.15,1306
sh999999,2020-12-28,28.18000030517578,58.2,28.32,64.78,1346
sh999999,2020-12-28,28.649999618530273,50.13,28.8,62.1,1386
sh999999,2020-12-28,28.3799991607666,44.89,28.52,56.99,1426
sh999999,2020-12-28,28.809999465942386,51.54,28.96,62.15,1466
sh999999,2020-12-28,28.68000030517578,65.23,28.82,72.75,1506
sh999999,2020-12-28,29.21999931335449,44.16,29.37,56.11,1546
sh999999,2020-12-28,29.1299991607666,73.29,29.27,79.6,1586
sh999999,2020-12-28,28.20000076293945,71.41,28.34,78.93,1626
sh999999,2020-12-28,28.63999938964844,59.79,28.78,69.17,1666
sh999999,2020-12-28,29.31999969482422,39.01,29.47,51.34,1706
sh999999,2020-12-28,29.899999618530273,35.92,30.05,47.59,1746
sh999999,2020-12-28,30.770000457763672,64.48,30.93,72.79,1786
sh999999,2020-12-28,29.729999542236328,52.01,29.88,64.08,1826
sh999999,2020-12-28,30.149999618530273,40.03,30.3,51.94,1866
sh999999,2020-12-28,29.78000068664551,53.55,29.93,63.19,1906
sh999999,2020-12-28,29.459999084472656,49.93,29.6,61.04,1946
sh999999,2020-12-28,29.31999969482422,59.84,29.47,68.01,1986
sh999999,2020-12-28,28.81999969482422,44.31,28.96,56.09,2026
sh999999,2020-12-28,28.65999984741211,53.34,28.8,63.37,2066
sh999999,2020-12-28,27.95000076293945,52.81,28.08,61.9,2106
sh999999,2020-12-28,28.6200008392334,45.72,28.76,58.56,2146
sh999999,2020-12-28,28.290000915527344,56.68,28.43,68.45,2186
sh999999,2020-12-28,28.190000534057607,34.36,28.33,43.98,2226
sh999999,2020-12-28,28.51000022888184,53.67,28.65,64.49,2266
sh999999,2020-12-28,28.61000061035156,44.86,28.75,55.54,2306
sh999999,2020-12-28,28.479999542236328,75.43,28.62,81.17,2346
sh999999,2020-12-28,27.899999618530273,26.7,28.04,38.85,2386
sh999999,2020-12-28,27.75,50.47,27.89,63.28,2426
sh999999,2020-12-28,27.8700008392334,34.01,28.01,43.82,2466
sh999999,2020-12-28,28.56999969482422,61.29,28.71,68.82,2506
sh999999,2020-12-28,28.459999084472656,63.04,28.6,70.16,2546
sh999999,2020-12-28,28.36000061035156,51.61,28.5,64.78,2586
sh999999,2020-12-28,28.979999542236328,62.55,29.12,71.54,2626
sh999999,2020-12-28,28.40999984741211,62.82,28.55,72.21,2666
sh999999,2020-12-28,29.209999084472656,52.62,29.36,65.5,2706
sh999999,2020-12-28,29.28000068664551,61.21,29.43,69.26,2746
sh999999,2020-12-28,28.32999992370605,73.96,28.47,80.27,2786
sh999999,2020-12-28,28.84000015258789,65.95,28.99,73.59,2826
sh999999,2020-12-28,28.989999771118164,73.86,29.13,80.29,2866
sh999999,2020-12-28,30.06999969482422,55.76,30.22,66.09,2906
sh999999,2020-12-28,30.59000015258789,31.64,30.74,42.23,2946
sh999999,2020-12-28,30.3700008392334,68.5,30.52,76.68,2986
sh999999,2020-12-28,30.13999938964844,80.05,30.29,83.27,3026
sh999999,2020-12-28,29.70000076293945,68.94,29.85,75.9,3066
sh999999,2020-12-28,29.34000015258789,47.66,29.49,59.57,3106
sh999999,2020-12-28,29.25,64.93,29.4,72.56,3146
sh999999,2020-12-28,28.8700008392334,65.06,29.01,72.29,3186
sh999999,2020-12-28,28.649999618530273,26.07,28.79,34.89,3226
sh999999,2020-12-28,28.10000038146973,51.07,28.24,61.76,3266
sh999999,2020-12-28,28.21999931335449,58.42,28.36,68.72,3306
sh999999,2020-12-28,27.88999938964844,75.8,28.03,81.15,3346
sh999999,2020-12-28,28.34000015258789,47.46,28.48,60.43,3386
sh999999,2020-12-28,28.57999992370605,76.37,28.72,81.58,3426
sh999999,2020-12-28,28.459999084472656,69.16,28.6,76.9,3466
sh999999,2020-12-28,28.5,64.09,28.64,72.5,3506
sh999999,2020-12-28,27.399999618530273,73.97,27.53,79.97,3546
sh999999,2020-12-28,27.78000068664551,42.99,27.92,57.14,3586
sh999999,2020-12-28,28.020000457763672,37.77,28.16,49.33,3626
sh999999,2020-12-28,28.440000534057607,28.63,28.58,40.59,3666
sh999999,2020-12-28,28.56999969482422,31.59,28.71,42.2,3706
sh999999,2020-12-28,28.65999984741211,34.27,28.8,46.37,3746
sh999999,2020-12-28,28.559999465942386,58.2,28.71,70.16,3786
sh999999,2020-12-28,28.920000076293945,65.5,29.06,73.02,3826
sh999999,2020-12-28,28.95000076293945,42.82,29.09,55.7,3866
sh999999,2020-12-28,29.290000915527344,38.66,29.44,49.53,3906
sh999999,2020-12-28,29.26000022888184,54.63,29.4,66.31,3946
sh999999,2020-12-28,28.56999969482422,62.01,28.71,72.35,3986
sh999999,2020-12-28,28.54999923706055,58.18,28.69,68.77,4026
sh999999,2020-12-28,29.09000015258789,68.5,29.24,76.81,4066
sh999999,2020-12-28,30.21999931335449,51.74,30.37,63.54,4106
sh999999,2020-12-28,30.8799991607666,76.94,31.03,81.5,4146
sh999999,2020-12-28,30.459999084472656,71.45,30.61,79.09,4186
sh999999,2020-12-28,30.07999992370605,77.51,30.23,81.93,4226
sh999999,2020-12-28,29.75,51.0,29.9,62.12,4266
sh999999,2020-12-28,29.51000022888184,34.14,29.66,47.93,4306
sh999999,2020-12-28,29.51000022888184,68.67,29.65,77.11,4346
sh999999,2020-12-28,28.63999938964844,50.74,28.78,61.58,4386
sh999999,2020-12-28,28.440000534057607,37.17,28.58,47.06,4426
sh999999,2020-12-28,28.170000076293945,54.95,28.31,65.11,4466
sh999999,2020-12-28,28.1200008392334,50.94,28.26,61.9,4506
sh999999,2020-12-28,28.1299991607666,51.07,28.27,64.71,4546
sh999999,2020-12-28,28.06999969482422,71.26,28.21,79.95,4586
sh999999,2020-12-28,28.559999465942386,54.47,28.7,67.02,4626
sh999999,2020-12-28,28.479999542236328,70.36,28.62,77.97,4666
sh999999,2020-12-28,28.479999542236328,65.55,28.62,72.36,4706
sh999999,2020-12-28,27.71999931335449,62.48,27.86,71.7,4746
sh999999,2020-12-28,27.70000076293945,62.08,27.84,73.3,4786
sh999999,2020-12-28,28.059999465942386,36.02,28.2,51.21,4826
sh999999,2020-12-28,28.51000022888184,68.82,28.65,75.13,4866
sh999999,2020-12-28,28.76000022888184,45.7,28.91,58.2,4906
sh999999,2020-12-28,28.709999084472656,44.89,28.86,57.53,4946
sh999999,2020-12-28,28.88999938964844,40.27,29.03,53.29,4986
sh999999,2020-12-28,28.84000015258789,49.26,28.98,61.61,5026
sh999999,2020-12-28,29.3799991607666,56.24,29.53,68.19,5066
sh999999,2020-12-28,29.32999992370605,60.67,29.47,71.68,5106
sh999999,2020-12-28,28.56999969482422,66.17,28.71,74.77,5146
sh999999,2020-12-28,28.670000076293945,63.67,28.81,72.65,5186
sh999999,2020-12-28,29.15999984741211,66.62,29.31,76.14,5226
sh999999,2020-12-28,30.07999992370605,54.83,30.23,65.95,5266
sh999999,2020-12-28,30.649999618530273,43.3,30.81,55.63,5306
sh999999,2020-12-28,30.56999969482422,70.64,30.72,78.82,5346
sh999999,2020-12-28,30.190000534057607,40.29,30.34,53.95,5386
sh999999,2020-12-28,29.709999084472656,68.01,29.86,74.97,5426
sh999999,2020-12-28,29.459999084472656,32.8,29.61,46.32,5466
sh999999,2020-12-28,29.309999465942386,54.75,29.46,65.46,5506
sh999999,2020-12-28,29.040000915527344,56.63,29.18,68.27,5546
sh999999,2020-12-28,28.61000061035156,40.37,28.76,53.88,5586
sh999999,2020-12-28,28.229999542236328,56.42,28.38,67.91,5626
sh999999,2020-12-28,28.6200008392334,67.78,28.76,76.47,5666
sh999999,2020-12-28,28.059999465942386,52.81,28.2,63.37,5706
sh999999,2020-12-28,28.770000457763672,40.19,28.92,49.19,5746
