stock,fc_date,T+1_lowest,reachability,T+1_lowest_+0.5%,reachability_2,uptonow_epochs
sh999999,2020-12-29,27.3700008392334,59.6,27.5,67.87,1914
sh999999,2020-12-29,28.6200008392334,56.45,28.76,66.4,1934
sh999999,2020-12-29,28.38999938964844,61.29,28.53,69.49,1954
sh999999,2020-12-29,28.36000061035156,60.08,28.5,70.16,1974
sh999999,2020-12-29,28.8700008392334,63.49,29.01,72.48,1994
sh999999,2020-12-29,28.70000076293945,29.8,28.84,41.48,2014
sh999999,2020-12-29,29.32999992370605,29.13,29.48,41.74,2034
sh999999,2020-12-29,28.88999938964844,40.19,29.03,52.69,2054
sh999999,2020-12-29,28.479999542236328,47.98,28.62,58.6,2074
sh999999,2020-12-29,28.420000076293945,71.91,28.56,79.03,2094
sh999999,2020-12-29,28.899999618530273,62.42,29.05,72.21,2114
sh999999,2020-12-29,28.899999618530273,44.62,29.05,56.72,2134
sh999999,2020-12-29,28.59000015258789,49.73,28.73,62.1,2154
sh999999,2020-12-29,28.479999542236328,38.98,28.63,53.36,2174
sh999999,2020-12-29,28.84000015258789,58.93,28.99,68.59,2194
sh999999,2020-12-29,28.60000038146973,61.74,28.74,69.8,2214
sh999999,2020-12-29,29.29999923706055,57.32,29.44,67.92,2234
sh999999,2020-12-29,29.1299991607666,62.68,29.28,73.29,2254
sh999999,2020-12-29,28.459999084472656,43.62,28.6,55.3,2274
sh999999,2020-12-29,29.239999771118164,39.81,29.39,54.42,2294
sh999999,2020-12-29,29.34000015258789,65.28,29.48,73.86,2314
sh999999,2020-12-29,30.04999923706055,68.36,30.2,74.93,2334
sh999999,2020-12-29,30.79999923706055,22.25,30.96,30.16,2354
sh999999,2020-12-29,30.190000534057607,74.26,30.34,80.56,2374
sh999999,2020-12-29,30.489999771118164,44.85,30.64,61.04,2394
sh999999,2020-12-29,28.739999771118164,54.17,28.89,64.92,2414
sh999999,2020-12-29,28.770000457763672,48.92,28.91,60.62,2434
sh999999,2020-12-29,28.26000022888184,62.23,28.4,71.24,2454
sh999999,2020-12-29,28.51000022888184,57.8,28.66,68.28,2474
sh999999,2020-12-29,28.68000030517578,50.4,28.82,60.62,2494
sh999999,2020-12-29,28.440000534057607,66.8,28.58,75.67,2514
sh999999,2020-12-29,28.6200008392334,51.88,28.76,65.05,2534
sh999999,2020-12-29,28.90999984741211,61.34,29.05,69.13,2554
sh999999,2020-12-29,28.899999618530273,31.95,29.05,44.56,2574
sh999999,2020-12-29,29.46999931335449,24.16,29.62,36.78,2594
sh999999,2020-12-29,29.149999618530273,73.29,29.3,80.13,2614
sh999999,2020-12-29,28.68000030517578,50.34,28.83,63.09,2634
sh999999,2020-12-29,29.190000534057607,44.1,29.34,56.7,2654
sh999999,2020-12-29,29.3700008392334,22.25,29.52,28.02,2674
sh999999,2020-12-29,30.040000915527344,67.83,30.19,75.2,2694
sh999999,2020-12-29,30.729999542236328,70.78,30.88,78.42,2714
sh999999,2020-12-29,30.3799991607666,74.8,30.53,80.83,2734
sh999999,2020-12-29,29.959999084472656,81.39,30.11,84.87,2754
sh999999,2020-12-29,30.020000457763672,64.93,30.17,72.82,2774
sh999999,2020-12-29,29.61000061035156,44.71,29.75,55.56,2794
sh999999,2020-12-29,29.45000076293945,51.67,29.6,62.92,2814
sh999999,2020-12-29,28.899999618530273,28.92,29.05,41.1,2834
sh999999,2020-12-29,28.399999618530273,37.3,28.55,48.4,2854
sh999999,2020-12-29,28.229999542236328,61.9,28.37,72.86,2874
sh999999,2020-12-29,28.60000038146973,64.97,28.74,74.47,2894
sh999999,2020-12-29,28.26000022888184,47.99,28.4,59.63,2914
sh999999,2020-12-29,28.309999465942386,55.61,28.45,67.38,2934
sh999999,2020-12-29,28.6200008392334,41.26,28.76,53.76,2954
sh999999,2020-12-29,28.28000068664551,57.53,28.42,67.74,2974
sh999999,2020-12-29,28.60000038146973,51.34,28.74,64.92,2994
sh999999,2020-12-29,28.979999542236328,63.09,29.12,71.14,3014
sh999999,2020-12-29,28.920000076293945,39.33,29.07,53.42,3034
sh999999,2020-12-29,29.239999771118164,66.58,29.38,75.7,3054
sh999999,2020-12-29,29.040000915527344,53.42,29.18,65.1,3074
sh999999,2020-12-29,28.790000915527344,41.61,28.94,53.42,3094
sh999999,2020-12-29,28.76000022888184,70.91,28.9,78.15,3114
sh999999,2020-12-29,29.18000030517578,71.45,29.33,78.95,3134
sh999999,2020-12-29,30.04999923706055,33.51,30.2,48.26,3154
sh999999,2020-12-29,30.59000015258789,57.24,30.74,66.76,3174
sh999999,2020-12-29,30.5,46.38,30.66,60.05,3194
sh999999,2020-12-29,30.270000457763672,34.94,30.42,48.86,3214
sh999999,2020-12-29,29.61000061035156,53.01,29.76,62.52,3234
sh999999,2020-12-29,29.6200008392334,46.85,29.77,57.7,3254
sh999999,2020-12-29,29.5,64.93,29.65,74.3,3274
sh999999,2020-12-29,28.8700008392334,65.33,29.02,73.49,3294
sh999999,2020-12-29,28.76000022888184,60.7,28.91,71.12,3314
sh999999,2020-12-29,28.1299991607666,33.29,28.27,43.05,3334
sh999999,2020-12-29,28.54999923706055,67.11,28.69,76.6,3354
sh999999,2020-12-29,28.239999771118164,50.94,28.39,64.97,3374
sh999999,2020-12-29,28.25,27.14,28.4,37.3,3394
sh999999,2020-12-29,28.86000061035156,48.06,29.01,63.02,3414
sh999999,2020-12-29,28.59000015258789,43.68,28.73,56.32,3434
sh999999,2020-12-29,28.32999992370605,38.17,28.47,48.92,3454
sh999999,2020-12-29,28.53000068664551,58.2,28.68,68.41,3474
sh999999,2020-12-29,28.6299991607666,47.04,28.77,57.39,3494
sh999999,2020-12-29,28.35000038146973,41.4,28.49,53.36,3514
sh999999,2020-12-29,28.540000915527344,59.01,28.69,70.3,3534
sh999999,2020-12-29,28.71999931335449,37.85,28.86,48.59,3554
sh999999,2020-12-29,28.78000068664551,61.48,28.92,71.54,3574
sh999999,2020-12-29,29.29999923706055,41.07,29.45,55.57,3594
sh999999,2020-12-29,29.10000038146973,64.56,29.24,74.77,3614
sh999999,2020-12-29,28.559999465942386,49.8,28.71,63.22,3634
sh999999,2020-12-29,28.63999938964844,70.38,28.78,75.6,3654
sh999999,2020-12-29,29.51000022888184,39.95,29.66,56.03,3674
sh999999,2020-12-29,29.940000534057607,65.55,30.09,73.46,3694
sh999999,2020-12-29,28.63999938964844,63.44,28.78,70.16,3714
sh999999,2020-12-29,28.6200008392334,51.34,28.77,63.44,3734
sh999999,2020-12-29,28.61000061035156,41.53,28.75,54.7,3754
sh999999,2020-12-29,29.03000068664551,67.92,29.17,74.9,3774
sh999999,2020-12-29,28.739999771118164,66.17,28.89,72.89,3794
sh999999,2020-12-29,29.309999465942386,36.38,29.46,51.28,3814
sh999999,2020-12-29,29.04999923706055,59.73,29.2,69.93,3834
sh999999,2020-12-29,28.520000457763672,51.41,28.66,63.22,3854
sh999999,2020-12-29,28.649999618530273,73.06,28.8,78.55,3874
sh999999,2020-12-29,29.54999923706055,53.35,29.7,64.88,3894
sh999999,2020-12-29,29.95000076293945,33.38,30.1,45.84,3914
sh999999,2020-12-29,30.8700008392334,48.93,31.02,63.14,3934
sh999999,2020-12-29,30.3799991607666,74.26,30.53,81.9,3954
sh999999,2020-12-29,30.32999992370605,32.13,30.48,46.05,3974
sh999999,2020-12-29,29.95000076293945,52.74,30.1,64.93,3994
sh999999,2020-12-29,28.53000068664551,61.02,28.68,71.64,4034
sh999999,2020-12-29,28.690000534057607,41.53,28.83,54.57,4074
sh999999,2020-12-29,28.5,60.48,28.65,70.3,4114
sh999999,2020-12-29,28.979999542236328,65.77,29.13,74.09,4154
sh999999,2020-12-29,28.88999938964844,23.09,29.04,33.15,4194
sh999999,2020-12-29,29.29999923706055,66.04,29.44,75.84,4234
sh999999,2020-12-29,29.270000457763672,66.44,29.42,75.03,4274
sh999999,2020-12-29,28.5,76.51,28.65,82.28,4314
sh999999,2020-12-29,28.96999931335449,51.74,29.12,65.15,4354
sh999999,2020-12-29,29.63999938964844,18.63,29.79,26.14,4394
sh999999,2020-12-29,29.809999465942386,45.98,29.95,57.91,4434
sh999999,2020-12-29,30.75,44.5,30.9,57.64,4474
sh999999,2020-12-29,30.51000022888184,50.4,30.66,64.48,4514
sh999999,2020-12-29,30.31999969482422,49.8,30.47,62.92,4554
sh999999,2020-12-29,29.6200008392334,60.64,29.77,69.48,4594
sh999999,2020-12-29,29.57999992370605,41.77,29.73,53.68,4634
sh999999,2020-12-29,29.53000068664551,32.4,29.68,45.52,4674
sh999999,2020-12-29,28.899999618530273,59.84,29.05,69.75,4714
sh999999,2020-12-29,28.989999771118164,47.86,29.13,63.24,4754
sh999999,2020-12-29,28.170000076293945,52.54,28.31,63.9,4794
sh999999,2020-12-29,28.32999992370605,68.98,28.47,77.54,4834
sh999999,2020-12-29,28.270000457763672,68.85,28.41,75.94,4874
sh999999,2020-12-29,28.54999923706055,62.5,28.69,71.24,4894
sh999999,2020-12-29,28.670000076293945,56.45,28.81,68.28,4914
sh999999,2020-12-29,28.57999992370605,47.72,28.72,61.42,4934
sh999999,2020-12-29,28.85000038146973,58.93,29.0,70.2,4954
sh999999,2020-12-29,28.57999992370605,59.14,28.72,67.47,4974
sh999999,2020-12-29,28.729999542236328,56.32,28.88,67.34,4994
sh999999,2020-12-29,28.729999542236328,65.86,28.87,75.0,5014
sh999999,2020-12-29,28.82999992370605,50.34,28.97,62.68,5034
sh999999,2020-12-29,28.76000022888184,64.97,28.9,73.83,5054
sh999999,2020-12-29,29.420000076293945,62.42,29.57,73.96,5074
sh999999,2020-12-29,29.15999984741211,40.94,29.31,54.23,5094
sh999999,2020-12-29,28.56999969482422,32.12,28.71,43.41,5114
sh999999,2020-12-29,28.690000534057607,55.24,28.83,67.2,5134
sh999999,2020-12-29,28.690000534057607,67.2,28.84,75.54,5154
sh999999,2020-12-29,28.809999465942386,55.03,28.96,67.92,5174
sh999999,2020-12-29,28.51000022888184,71.95,28.65,77.99,5194
sh999999,2020-12-29,29.479999542236328,52.21,29.63,64.97,5214
sh999999,2020-12-29,28.93000030517578,74.09,29.08,79.6,5234
sh999999,2020-12-29,28.559999465942386,48.59,28.71,61.34,5254
sh999999,2020-12-29,28.63999938964844,73.19,28.78,78.82,5274
sh999999,2020-12-29,29.40999984741211,66.09,29.55,74.13,5294
sh999999,2020-12-29,29.739999771118164,39.68,29.89,51.47,5314
sh999999,2020-12-29,30.729999542236328,43.7,30.88,56.7,5334
sh999999,2020-12-29,30.53000068664551,71.31,30.68,79.22,5354
sh999999,2020-12-29,30.28000068664551,73.63,30.44,80.59,5374
sh999999,2020-12-29,29.96999931335449,59.3,30.12,69.75,5394
sh999999,2020-12-29,29.46999931335449,53.82,29.62,64.26,5414
sh999999,2020-12-29,29.40999984741211,40.83,29.56,52.48,5434
sh999999,2020-12-29,28.8700008392334,54.22,29.01,65.19,5454
sh999999,2020-12-29,28.6299991607666,46.39,28.78,58.16,5474
sh999999,2020-12-29,28.149999618530273,42.38,28.29,53.34,5494
sh999999,2020-12-29,28.34000015258789,69.79,28.48,77.01,5514
sh999999,2020-12-29,28.18000030517578,71.52,28.32,80.08,5534
sh999999,2020-12-29,16.030000686645508,39.92,16.11,52.21,5554
sh999999,2020-12-29,15.56999969482422,63.81,15.65,71.82,5574
sh999999,2020-12-29,15.609999656677244,65.52,15.69,74.07,5594
sh999999,2020-12-29,15.470000267028807,56.41,15.55,65.93,5614
sh999999,2020-12-29,15.289999961853027,64.69,15.37,70.76,5634
sh999999,2020-12-29,15.449999809265135,52.55,15.53,64.41,5654
sh999999,2020-12-29,15.520000457763672,48.69,15.6,59.17,5674
sh999999,2020-12-29,15.279999732971193,55.92,15.35,65.01,5694
sh999999,2020-12-29,15.199999809265135,48.07,15.28,59.23,5714
sh999999,2020-12-29,15.149999618530273,51.38,15.22,62.4,5734
sh999999,2020-12-29,15.029999732971193,45.04,15.11,56.34,5754
sh999999,2020-12-29,15.029999732971193,63.64,15.1,69.97,5774
sh999999,2020-12-29,15.220000267028807,48.97,15.29,60.39,5794
sh999999,2020-12-29,15.329999923706055,62.04,15.4,70.15,5814
sh999999,2020-12-29,15.289999961853027,49.52,15.36,60.8,5834
sh999999,2020-12-29,15.109999656677244,54.33,15.19,64.51,5854
sh999999,2020-12-29,14.949999809265135,51.72,15.02,61.62,5874
sh999999,2020-12-29,14.640000343322756,51.92,14.71,63.19,5894
sh999999,2020-12-29,14.779999732971193,61.13,14.86,69.92,5914
sh999999,2020-12-29,15.40999984741211,55.91,15.49,66.9,5934
sh999999,2020-12-29,15.600000381469727,55.08,15.68,63.74,5954
sh999999,2020-12-29,15.329999923706055,55.91,15.4,63.74,5974
sh999999,2020-12-29,15.0600004196167,49.52,15.14,60.63,5994
sh999999,2020-12-29,15.119999885559082,56.93,15.2,66.67,6014
sh999999,2020-12-29,14.869999885559082,47.33,14.94,60.77,6034
sh999999,2020-12-29,14.970000267028807,43.21,15.05,54.18,6054
sh999999,2020-12-29,15.1899995803833,47.46,15.27,59.67,6074
sh999999,2020-12-29,15.010000228881836,63.01,15.09,73.97,6094
sh999999,2020-12-29,14.729999542236328,48.77,14.8,61.1,6114
sh999999,2020-12-29,16.020000457763672,50.28,16.1,63.67,6134
sh999999,2020-12-29,15.640000343322756,53.59,15.72,65.47,6154
sh999999,2020-12-29,15.6899995803833,60.83,15.76,70.9,6174
sh999999,2020-12-29,15.399999618530273,57.66,15.48,67.03,6194
sh999999,2020-12-29,15.199999809265135,71.72,15.27,78.9,6214
sh999999,2020-12-29,15.460000038146973,50.21,15.54,61.38,6234
sh999999,2020-12-29,15.579999923706055,46.48,15.65,57.93,6254
sh999999,2020-12-29,15.229999542236328,65.98,15.3,73.42,6274
sh999999,2020-12-29,15.1899995803833,40.63,15.27,51.79,6294
sh999999,2020-12-29,15.0600004196167,55.51,15.14,65.01,6314
sh999999,2020-12-29,14.869999885559082,60.33,14.95,68.6,6334
sh999999,2020-12-29,15.210000038146973,56.75,15.29,65.98,6354
sh999999,2020-12-29,15.130000114440918,56.26,15.2,66.02,6374
sh999999,2020-12-29,15.199999809265135,72.21,15.28,80.19,6394
sh999999,2020-12-29,15.119999885559082,66.02,15.19,74.14,6414
sh999999,2020-12-29,15.18000030517578,49.38,15.26,62.17,6434
sh999999,2020-12-29,14.90999984741211,50.48,14.99,63.14,6454
sh999999,2020-12-29,14.56999969482422,50.82,14.65,63.46,6474
sh999999,2020-12-29,14.8100004196167,47.94,14.88,58.38,6494
sh999999,2020-12-29,15.609999656677244,46.02,15.69,58.79,6514
sh999999,2020-12-29,15.630000114440918,52.75,15.71,62.91,6534
sh999999,2020-12-29,15.270000457763672,60.03,15.34,68.41,6554
sh999999,2020-12-29,15.119999885559082,47.19,15.19,60.63,6574
sh999999,2020-12-29,15.100000381469727,58.98,15.17,68.86,6594
sh999999,2020-12-29,14.84000015258789,51.44,14.91,63.1,6614
sh999999,2020-12-29,14.899999618530273,56.93,14.97,68.18,6634
sh999999,2020-12-29,15.100000381469727,55.97,15.17,66.8,6654
sh999999,2020-12-29,15.020000457763672,65.07,15.09,75.21,6674
sh999999,2020-12-29,14.670000076293945,56.58,14.74,67.81,6694
sh999999,2020-12-29,15.93000030517578,60.5,16.01,70.44,6704
sh999999,2020-12-29,15.579999923706055,63.12,15.66,72.38,6714
sh999999,2020-12-29,15.65999984741211,62.76,15.74,69.38,6724
sh999999,2020-12-29,15.420000076293945,66.48,15.49,73.93,6734
sh999999,2020-12-29,15.25,68.41,15.32,75.31,6744
sh999999,2020-12-29,15.31999969482422,66.76,15.4,72.97,6754
sh999999,2020-12-29,15.600000381469727,46.21,15.68,58.07,6764
sh999999,2020-12-29,15.279999732971193,59.5,15.35,68.18,6774
sh999999,2020-12-29,15.079999923706055,58.68,15.16,67.36,6784
sh999999,2020-12-29,15.079999923706055,54.55,15.15,65.98,6794
sh999999,2020-12-29,15.020000457763672,50.14,15.09,62.12,6804
sh999999,2020-12-29,15.260000228881836,45.73,15.34,57.16,6814
sh999999,2020-12-29,15.15999984741211,59.83,15.24,68.09,6824
sh999999,2020-12-29,15.31999969482422,58.87,15.4,66.99,6834
sh999999,2020-12-29,15.010000228881836,72.49,15.08,79.78,6844
sh999999,2020-12-29,15.079999923706055,61.9,15.15,70.56,6854
sh999999,2020-12-29,14.90999984741211,52.82,14.98,64.1,6864
sh999999,2020-12-29,14.619999885559082,45.19,14.7,58.93,6874
sh999999,2020-12-29,14.739999771118164,63.74,14.81,72.94,6884
sh999999,2020-12-29,15.390000343322756,67.99,15.46,75.69,6894
sh999999,2020-12-29,15.5600004196167,52.34,15.63,65.11,6904
sh999999,2020-12-29,15.350000381469727,54.12,15.43,62.91,6914
sh999999,2020-12-29,15.109999656677244,47.46,15.19,59.81,6924
sh999999,2020-12-29,15.079999923706055,61.18,15.15,70.1,6934
sh999999,2020-12-29,14.760000228881836,63.51,14.83,73.8,6944
sh999999,2020-12-29,14.979999542236328,44.31,15.05,57.34,6954
sh999999,2020-12-29,15.149999618530273,55.69,15.22,67.9,6964
sh999999,2020-12-29,14.989999771118164,63.29,15.07,74.11,6974
sh999999,2020-12-29,14.710000038146973,47.67,14.78,59.86,6984
