,exchange,cal_date,is_open
6081,SSE,20160825,1
6082,SSE,20160826,1
6083,SSE,20160827,0
6084,SSE,20160828,0
6085,SSE,20160829,1
6086,SSE,20160830,1
6087,SSE,20160831,1
6088,SSE,20160901,1
6089,SSE,20160902,1
6090,SSE,20160903,0
6091,SSE,20160904,0
6092,SSE,20160905,1
6093,SSE,20160906,1
6094,SSE,20160907,1
6095,SSE,20160908,1
6096,SSE,20160909,1
6097,SSE,20160910,0
6098,SSE,20160911,0
6099,SSE,20160912,1
6100,SSE,20160913,1
6101,SSE,20160914,1
6102,SSE,20160915,0
6103,SSE,20160916,0
6104,SSE,20160917,0
6105,SSE,20160918,0
6106,SSE,20160919,1
6107,SSE,20160920,1
6108,SSE,20160921,1
6109,SSE,20160922,1
6110,SSE,20160923,1
6111,SSE,20160924,0
6112,SSE,20160925,0
6113,SSE,20160926,1
6114,SSE,20160927,1
6115,SSE,20160928,1
6116,SSE,20160929,1
6117,SSE,20160930,1
6118,SSE,20161001,0
6119,SSE,20161002,0
6120,SSE,20161003,0
6121,SSE,20161004,0
6122,SSE,20161005,0
6123,SSE,20161006,0
6124,SSE,20161007,0
6125,SSE,20161008,0
6126,SSE,20161009,0
6127,SSE,20161010,1
6128,SSE,20161011,1
6129,SSE,20161012,1
6130,SSE,20161013,1
6131,SSE,20161014,1
6132,SSE,20161015,0
6133,SSE,20161016,0
6134,SSE,20161017,1
6135,SSE,20161018,1
6136,SSE,20161019,1
6137,SSE,20161020,1
6138,SSE,20161021,1
6139,SSE,20161022,0
6140,SSE,20161023,0
6141,SSE,20161024,1
6142,SSE,20161025,1
6143,SSE,20161026,1
6144,SSE,20161027,1
6145,SSE,20161028,1
6146,SSE,20161029,0
6147,SSE,20161030,0
6148,SSE,20161031,1
6149,SSE,20161101,1
6150,SSE,20161102,1
6151,SSE,20161103,1
6152,SSE,20161104,1
6153,SSE,20161105,0
6154,SSE,20161106,0
6155,SSE,20161107,1
6156,SSE,20161108,1
6157,SSE,20161109,1
6158,SSE,20161110,1
6159,SSE,20161111,1
6160,SSE,20161112,0
6161,SSE,20161113,0
6162,SSE,20161114,1
6163,SSE,20161115,1
6164,SSE,20161116,1
6165,SSE,20161117,1
6166,SSE,20161118,1
6167,SSE,20161119,0
6168,SSE,20161120,0
6169,SSE,20161121,1
6170,SSE,20161122,1
6171,SSE,20161123,1
6172,SSE,20161124,1
6173,SSE,20161125,1
6174,SSE,20161126,0
6175,SSE,20161127,0
6176,SSE,20161128,1
6177,SSE,20161129,1
6178,SSE,20161130,1
6179,SSE,20161201,1
6180,SSE,20161202,1
6181,SSE,20161203,0
6182,SSE,20161204,0
6183,SSE,20161205,1
6184,SSE,20161206,1
6185,SSE,20161207,1
6186,SSE,20161208,1
6187,SSE,20161209,1
6188,SSE,20161210,0
6189,SSE,20161211,0
6190,SSE,20161212,1
6191,SSE,20161213,1
6192,SSE,20161214,1
6193,SSE,20161215,1
6194,SSE,20161216,1
6195,SSE,20161217,0
6196,SSE,20161218,0
6197,SSE,20161219,1
6198,SSE,20161220,1
6199,SSE,20161221,1
6200,SSE,20161222,1
6201,SSE,20161223,1
6202,SSE,20161224,0
6203,SSE,20161225,0
6204,SSE,20161226,1
6205,SSE,20161227,1
6206,SSE,20161228,1
6207,SSE,20161229,1
6208,SSE,20161230,1
6209,SSE,20161231,0
6210,SSE,20170101,0
6211,SSE,20170102,0
