,Unnamed: 0,Unnamed: 0.1,open,high,low,adjclose,amount,volume,str07,pct_index_300,pct_vol_300,adjclose_8,true_adjclose_8,buy_profit,sell_profit
1265.0,1265,2010-05-17,9.86,10.04,9.38,9.45,54444264.0,5563214,1000,-5.345151010104543,22.74922215890789,9.569674,9.82,0.11967353820800852,0.0
1266.0,1266,2010-05-18,9.45,9.55,8.72,9.19,63897428.0,7065168,945,2.0860346555077625,4.49102089685427,9.464921,9.62,0.2749209976196294,0.0
1278.0,1278,2010-06-04,9.82,10.1,9.77,10.01,104492376.0,10486332,986,0.30371918949738674,-17.280729572126464,6.8103967,6.25,0.0,3.1996033287048338
1284.0,1284,2010-06-17,6.67,6.7,6.43,6.43,62904524.0,9593845,662,-0.5850221286251234,-19.591977875954004,6.0205994,5.61,0.0,0.4094006347656247
1292.0,1292,2010-06-29,6.1,6.14,5.6,5.61,52639316.0,9028613,611,-4.592201061550815,75.95985051485303,5.739065,5.75,0.12906517028808562,0.0
1296.0,1296,2010-07-05,5.35,5.44,5.25,5.39,25214624.0,4723476,543,-0.8464543624955523,-28.35529599836132,5.7803907,5.72,0.3903907394409183,0.0
1298.0,1298,2010-07-07,5.58,5.77,5.53,5.75,54896772.0,9756878,558,0.6859417066604312,-10.056343784711586,5.891009,5.93,0.14100885391235352,0.0
1299.0,1299,2010-07-08,5.7,5.75,5.56,5.63,50433812.0,8940443,575,-0.17671130952380265,-4.658176531845816,5.987754,6.2,0.35775386810302745,0.0
1308.0,1308,2010-07-21,6.2,6.34,6.1,6.14,128246880.0,20608349,620,0.21265730439539168,-3.24259081755508,6.624835,6.73,0.48483501434326204,0.0
1309.0,1309,2010-07-22,6.12,6.33,6.08,6.32,98509488.0,15812866,614,1.2361092406081522,-13.69797108111792,6.7012815,6.56,0.38128154754638643,0.0
1313.0,1313,2010-07-28,6.16,6.64,6.16,6.49,212693472.0,33144483,617,2.4322893565879244,60.614739584533964,6.5755663,6.92,0.08556629180908182,0.0
1315.0,1315,2010-07-30,6.77,6.77,6.56,6.66,208371360.0,31416082,676,-0.3172363949714763,-34.793597347144114,6.753652,6.61,0.0,-0.09365209579467759
1316.0,1316,2010-08-02,6.68,6.77,6.61,6.73,153237936.0,22876778,666,1.6877843038151097,14.650615125632616,6.93932,6.71,0.0,-0.2093200874328609
1318.0,1318,2010-08-04,6.52,6.83,6.51,6.81,165857744.0,24875775,656,0.3649724177154701,-12.759062676777232,7.187913,7.03,0.3779129409790043,0.0
1321.0,1321,2010-08-09,6.87,6.96,6.8,6.92,127559056.0,18512814,688,0.7102282531421977,-0.2516241930259677,7.4383307,7.14,0.5183306503295899,0.0
1336.0,1336,2010-08-30,8.39,9.1,8.3,9.03,939529216.0,108187119,839,1.9744137803167303,61.19283105181121,8.854038,9.12,-0.17596176147460874,0.0
1337.0,1337,2010-08-31,8.84,9.18,8.73,8.89,800263104.0,89989678,903,-0.4054874597342773,0.02467228762479401,8.997498,8.91,0.10749755859374943,0.0
1339.0,1339,2010-09-02,8.62,8.85,8.43,8.61,456616768.0,52704153,856,1.2950583209664135,-8.151581531482623,8.790267,8.94,0.18026699066162166,0.0
1350.0,1350,2010-09-17,8.2,8.24,7.91,7.96,153343792.0,19053847,65536,0.12527162597670838,-29.882728262348103,8.386679,8.17,0.426678695678711,0.0
1353.0,1353,2010-09-27,7.86,8.12,7.85,8.07,99196848.0,12380073,65536,1.6640536416702822,37.256618749654045,8.312204,8.19,0.24220436096191378,0.0
1356.0,1356,2010-09-30,7.8,7.91,7.73,7.89,78521384.0,10027174,65536,2.1135309811779024,10.950627234897905,8.170302,8.1,0.2803023910522464,0.0
1360.0,1360,2010-10-13,8.15,8.9,8.11,8.68,446621280.0,52459972,65536,1.4136091000494844,13.541015331099725,8.882593,8.46,0.0,-0.20259315490722685
1370.0,1370,2010-10-27,8.75,9.3,8.71,8.97,732890048.0,80845425,65536,-1.7948229700410878,-13.233192742648768,8.9267025,9.23,-0.0432975006103522,0.0
1371.0,1371,2010-10-28,8.9,8.98,8.5,8.64,338388096.0,38910831,65536,-0.18155805010179327,-20.53312187296913,8.864353,9.05,0.22435317993164006,0.0
1372.0,1372,2010-10-29,8.75,8.93,8.54,8.79,230691440.0,26254095,65536,-0.52123648714274,2.1449167954726622,8.859408,9.04,0.06940837860107507,0.0
1377.0,1377,2010-11-05,8.73,9.09,8.73,8.98,319722560.0,35921375,65536,1.1578796149978476,17.884108577503017,8.492495,8.09,0.0,0.4875054168701176
1378.0,1378,2010-11-08,8.99,9.34,8.92,9.23,383720544.0,41800307,65536,0.7887411951829071,-8.146872494585168,8.506999,8.27,0.0,0.723000984191895
1383.0,1383,2010-11-16,8.41,8.86,8.41,8.86,296633408.0,33643402,65536,-4.384760881959881,5.855745105219603,8.06516,8.73,0.0,0.7948402023315424
1384.0,1384,2010-11-17,8.79,8.79,7.97,8.09,347875104.0,41829725,65536,-2.0706474756589266,-23.12775291349396,7.700377,7.27,0.0,0.38962301254272447
1387.0,1387,2010-11-22,8.19,8.66,8.11,8.47,192118640.0,22779597,65536,-0.21737420765370885,-0.16182579056154278,7.080296,6.87,0.0,1.3897039604187018
1395.0,1395,2010-12-02,6.97,6.99,6.85,6.87,84270472.0,12201781,65536,0.607138985083,24.837515006341306,6.9987407,6.94,0.12874067306518544,0.0
1398.0,1398,2010-12-07,6.65,6.77,6.51,6.76,64090304.0,9645369,65536,1.0983803864706765,3.763172513418911,6.9096327,6.76,0.0,0.0
1405.0,1405,2010-12-16,6.88,6.91,6.78,6.79,71609536.0,10477057,65536,-0.5225332857090037,-21.40612428831773,6.3814898,6.02,0.0,0.4085102462768555
1411.0,1411,2010-12-24,6.58,6.58,6.46,6.55,34284108.0,5268026,65536,-0.804425752914284,-10.075829173492457,6.498952,6.37,0.0,0.05104808807373029
1414.0,1414,2010-12-29,6.02,6.12,6.02,6.12,23732702.0,3912277,65536,0.5550209692833707,-19.765336808925525,6.3376284,6.14,0.21762836456298817,0.0
1420.0,1420,2011-01-07,6.38,6.44,6.29,6.34,47832448.0,7516184,65536,0.22091124305301246,40.90431354707786,6.45449,6.6,0.11449018478393569,0.0
1430.0,1430,2011-01-21,6.13,6.26,6.08,6.19,47978740.0,7786083,65536,1.3159190548475141,19.74936279460937,6.531657,6.26,0.3416572189331051,0.0
1437.0,1437,2011-02-01,6.26,6.38,6.23,6.32,46125192.0,7286600,65536,0.02502836005733311,-25.695773996908823,6.6142616,6.6,0.29426162719726534,0.0
1450.0,1450,2011-02-25,6.92,6.94,6.79,6.84,98817136.0,14421386,65536,0.20934270152368484,-7.321169301744933,7.08451,7.3,0.24450984954833999,0.0
1453.0,1453,2011-03-02,7.29,7.43,7.13,7.27,195233088.0,26780976,65536,-0.35607962173835883,-8.644661077539151,7.109839,7.13,0.0,0.16016103744506793
1456.0,1456,2011-03-07,7.2,7.25,7.14,7.22,122856224.0,17064753,65536,1.951893648701964,47.70830423683181,6.9926615,6.81,0.0,0.22733852386474585
1459.0,1459,2011-03-10,7.26,7.27,7.09,7.1,120764936.0,16888159,65536,-1.7550900606793869,0.2387411095591041,7.0813,6.87,0.0,0.01870021820068324
1463.0,1463,2011-03-16,6.88,7.05,6.88,7.02,79701560.0,11468126,65536,1.3807912708023728,-17.883731548809408,7.0101776,6.99,0.0,0.009822387695312074
1473.0,1473,2011-03-30,6.82,6.85,6.67,6.78,68316272.0,10118239,65536,-0.058318344495666974,-25.592500976727205,7.161846,6.95,0.3818461608886716,0.0
1474.0,1474,2011-03-31,6.78,6.87,6.69,6.72,50980664.0,7523308,65536,-1.0070391390874955,-17.65777866279349,7.231204,6.88,0.5112040328979495,0.0
1478.0,1478,2011-04-08,6.96,6.96,6.85,6.92,52398196.0,7588462,65536,0.8705277913139797,-12.697600694704487,7.199934,7.25,0.27993400573730476,0.0
1482.0,1482,2011-04-14,6.93,6.95,6.85,6.88,54796540.0,7950702,65536,-0.5477412715782504,2.2242468427382533,6.718803,6.68,0.0,0.16119707107543935
1485.0,1485,2011-04-19,7.1,7.25,7.05,7.15,202393760.0,28231984,65536,-1.8940656776129439,-1.7043731545950846,6.679232,6.62,0.0,0.47076787948608434
1486.0,1486,2011-04-20,7.18,7.4,7.15,7.25,215726800.0,29550164,65536,-0.0015170777441619876,-14.997150702164298,6.682773,6.7,0.0,0.5672268867492676
1490.0,1490,2011-04-26,6.79,6.84,6.6,6.68,60083012.0,8952995,65536,-0.5726911560606562,-20.59263015425219,6.705017,6.49,0.0,-0.025017089843750284
1493.0,1493,2011-04-29,6.53,6.62,6.5,6.62,25207516.0,3839134,65536,0.9785627083478188,-17.474448785619302,6.8166547,6.61,0.0,-0.19665468215942372
1495.0,1495,2011-05-04,6.69,6.69,6.41,6.5,48724116.0,7471146,65536,-2.5567323652421425,21.304840405018943,6.913522,6.74,0.41352176666259766,0.0
1518.0,1518,2011-06-08,6.08,6.12,5.99,6.1,25302418.0,4174598,65536,0.14612583464812534,16.4343086890675,6.1008105,5.66,0.0,-0.0008105278015140271
1519.0,1519,2011-06-09,6.09,6.13,5.98,5.98,28897024.0,4775816,65536,-1.8865604174629904,10.692171514262894,6.13614,5.74,0.0,-0.15613986968994098
1529.0,1529,2011-06-23,5.71,5.82,5.62,5.81,24656684.0,4295218,65536,1.6863899222300915,23.10447961325233,6.309693,6.24,0.4996928596496586,0.0
1532.0,1532,2011-06-28,6.17,6.29,6.08,6.14,59746304.0,9719009,65536,0.17256766859103936,-15.010898827966225,6.2434688,6.12,0.0,-0.10346876144409212
1539.0,1539,2011-07-07,6.23,6.27,6.18,6.19,35810192.0,5757140,65536,-0.3863558263293654,16.658953070016615,6.394324,6.3,0.20432382583618125,0.0
1546.0,1546,2011-07-18,6.23,6.29,6.13,6.19,40763240.0,6547539,65536,-0.20102975815704527,-1.395623892918063,5.8506436,5.81,0.0,0.3393563652038578
1550.0,1550,2011-07-22,6.08,6.13,6.06,6.09,24780064.0,4072135,65536,0.28929699196504904,-15.487090518565724,6.009994,5.77,0.0,0.08000597000122056
1552.0,1552,2011-07-26,5.79,5.86,5.78,5.85,19786444.0,3403361,65536,0.3193758022295601,-35.226537873895175,6.0073953,5.97,0.15739526748657262,0.0
1555.0,1555,2011-07-29,5.82,5.85,5.7,5.75,20206996.0,3507456,65536,-0.29922844682992444,-3.8237844820322775,6.061925,6.09,0.31192493438720703,0.0
1560.0,1560,2011-08-05,5.69,6.02,5.62,5.97,92092000.0,15653092,65536,-2.1244396701696755,49.50971358241424,6.0943356,6.17,0.12433555603027369,0.0
1561.0,1561,2011-08-08,5.9,5.99,5.5,5.95,85338496.0,14607693,65536,-3.5728337624507334,45.01688611361949,6.004413,5.99,0.054413127899169744,0.0
1566.0,1566,2011-08-15,6.2,6.3,6.14,6.24,80099792.0,12875796,65536,1.478418429628192,4.682152893437164,5.934166,5.93,0.0,0.30583404541015646
1567.0,1567,2011-08-16,6.26,6.27,6.07,6.17,63203240.0,10251294,65536,-0.6957105843969025,-14.885551807554732,6.022682,5.98,0.0,0.14731781005859368
1568.0,1568,2011-08-17,6.11,6.23,6.11,6.17,46428036.0,7522869,65536,-0.3992987251430379,-23.123787384733554,6.040499,6.0,0.0,0.1295007896423339
1571.0,1571,2011-08-22,5.8,5.9,5.73,5.75,27444064.0,4721880,65536,-1.0638752555508837,-20.920106843213013,5.7414327,5.83,-0.008567333221435547,0.0
1578.0,1578,2011-08-31,5.91,5.94,5.79,5.85,24729706.0,4228626,65536,0.177356126880035,-25.56911708579413,5.8558383,5.7,0.0,-0.005838298797607777
1580.0,1580,2011-09-02,5.79,5.84,5.66,5.75,17544626.0,3049313,65536,-1.0827153612226303,-2.661422793053969,5.801519,5.73,0.0,-0.051518917083740234
1582.0,1582,2011-09-06,5.66,5.75,5.6,5.7,16052314.0,2818144,65536,-0.7478624691124036,-7.160227284799002,5.5998383,5.45,0.0,0.10016174316406268
1584.0,1584,2011-09-08,5.85,5.85,5.74,5.75,20589890.0,3554763,65536,-0.8268893774580843,-19.319321789821075,5.4531603,5.58,0.0,0.29683971405029297
1588.0,1588,2011-09-15,5.77,5.81,5.71,5.73,12882112.0,2233000,65536,-0.148548722883457,2.455712087318296,5.093201,5.22,0.0,0.6367988395690922
1589.0,1589,2011-09-16,5.82,5.84,5.69,5.7,13063863.0,2274417,65536,0.18101537164945114,-11.600159438340752,5.0447645,5.1,0.0,0.6552354812622072
1591.0,1591,2011-09-20,5.46,5.5,5.37,5.45,16938244.0,3118375,65536,0.3948836810026668,-12.004630582420829,4.9586096,4.99,0.0,0.49139041900634783
1593.0,1593,2011-09-22,5.55,5.56,5.38,5.38,20994132.0,3833620,65536,-3.0790217285394217,-16.178743877189678,5.224886,4.96,0.0,0.15511405944824208
1597.0,1597,2011-09-28,5.23,5.28,5.08,5.1,19423770.0,3751781,65536,-1.0345428905029763,-2.433954750808731,5.200738,5.41,0.10073795318603551,0.0
1600.0,1600,2011-10-10,5.0,5.02,4.96,4.96,8428769.0,1691314,65536,-0.9402057063164659,-11.624350851282385,4.9409904,4.98,-0.01900955200195309,0.0
1603.0,1603,2011-10-13,5.12,5.49,5.08,5.41,69903200.0,13226927,65536,0.6745413572498027,-8.369735515654696,5.220344,5.16,0.0,0.1896559333801271
1605.0,1605,2011-10-17,5.37,5.58,5.31,5.41,68207720.0,12630661,65536,0.49627324043437504,-5.682854566305072,5.473305,5.45,0.06330522537231431,0.0
1611.0,1611,2011-10-25,5.04,5.2,5.0,5.16,24111114.0,4690967,65536,1.8923649516624064,25.07578626162919,5.7059097,5.62,0.5459097290039061,0.0
