,Unnamed: 0,open,high,low,adjclose,amount,volume,str07,adjclose_4,true_adjclose_4,buy_profit,sell_profit
1993.0,2008-08-27,20.82,20.82,19.1,19.96,29320028.0,1479468,2040,20.129852,19.72,0.0,-0.16985229492187415
2000.0,2008-09-05,17.65,17.65,16.5,17.0,45894520.0,2700861,1791,17.613691,16.7,0.0,-0.6136913299560547
2009.0,2008-09-19,17.0,17.35,16.98,17.35,74786888.0,4319591,1577,16.589827,15.89,0.0,0.7601734161376967
2015.0,2008-10-06,16.7,16.7,15.65,16.01,33840508.0,2113193,1683,16.362333,16.22,0.3523332977294906,0.0
2018.0,2008-10-09,16.9,17.15,16.4,16.49,34159920.0,2018677,1674,16.59429,16.33,0.0,-0.1042897796630875
2023.0,2008-10-16,16.0,16.2,15.75,15.77,20820180.0,1301843,1633,15.910403,16.4,0.14040325164794965,0.0
2026.0,2008-10-21,16.3,16.6,16.26,16.29,12205963.0,745652,1625,16.171825,15.85,0.0,0.11817459106445227
2033.0,2008-10-30,16.2,16.4,15.7,16.36,17500176.0,1087991,1612,16.16246,16.2,0.0,0.19753967285156193
2037.0,2008-11-05,15.87,16.24,15.76,16.2,14384234.0,892013,1587,15.967923,16.5,-0.2320768356323235,0.0
2045.0,2008-11-17,18.23,18.79,17.73,18.28,66926272.0,3675559,1818,18.226519,17.79,0.0,0.053481369018555824
2046.0,2008-11-18,18.17,18.3,17.01,17.22,67223776.0,3830002,1828,17.958742,17.83,0.738742141723634,0.0
2047.0,2008-11-19,17.0,18.0,16.56,17.93,88529560.0,5093483,1722,17.771662,18.0,-0.15833824157714815,0.0
2059.0,2008-12-05,19.28,19.78,19.2,19.59,21253592.0,1092369,0,19.555984,19.97,-0.03401550292968736,0.0
2061.0,2008-12-09,20.4,20.4,19.9,19.93,44752700.0,2236989,0,20.202408,19.36,0.0,-0.2724078369140628
2078.0,2009-01-05,20.0,20.54,20.0,20.37,21797488.0,1069500,1999,20.198051,19.11,0.0,0.17194854736328224
2084.0,2009-01-13,18.79,18.79,18.3,18.31,97181472.0,5264800,1896,18.787321,18.6,0.47732109069824347,0.0
2085.0,2009-01-14,18.33,18.78,18.0,18.4,101078112.0,5494300,1831,18.564545,18.6,0.16454467773437642,0.0
2086.0,2009-01-15,18.5,18.87,18.33,18.65,122059128.0,6572000,1840,18.705194,18.2,0.0,-0.055194473266602984
2088.0,2009-01-19,19.0,19.25,18.4,18.6,121258640.0,6460300,1889,18.996996,18.44,0.0,-0.3969959259033189
2091.0,2009-01-22,18.22,18.38,17.99,18.35,73525720.0,4051000,1820,18.380507,19.0,0.030506515502928266,0.0
2095.0,2009-02-04,19.04,19.08,18.8,19.0,115927000.0,6126900,1908,18.997343,20.15,-0.0026569366455078125,0.0
2099.0,2009-02-10,20.3,20.3,19.82,20.15,86046296.0,4305000,2035,20.161022,22.08,0.011022186279298296,0.0
2114.0,2009-03-03,19.3,19.45,18.88,19.39,30145092.0,1567700,1940,19.19348,19.48,-0.19652046203613338,0.0
2116.0,2009-03-05,20.5,20.51,19.6,20.0,69332880.0,3470500,2020,20.093231,19.71,0.0,-0.093231201171875
2117.0,2009-03-06,19.85,20.13,19.6,19.91,59961116.0,3032800,2000,19.968344,19.86,0.0,-0.058343734741210795
2121.0,2009-03-12,19.67,19.92,19.45,19.86,33958604.0,1724800,1971,19.609316,20.42,-0.2506841278076166,0.0
2128.0,2009-03-23,20.61,20.98,20.5,20.91,50805652.0,2443800,2067,20.820194,20.53,0.0,0.08980575561523452
2130.0,2009-03-25,20.8,20.8,20.2,20.26,35725132.0,1742100,2090,20.694082,20.59,0.4340822601318344,0.0
2135.0,2009-04-01,20.62,21.26,20.62,21.13,53034532.0,2519200,2059,20.916035,20.94,0.0,0.21396530151367088
2138.0,2009-04-07,21.55,21.76,21.34,21.6,36871628.0,1712200,2155,21.565649,23.17,-0.034350967407227984,0.0
2143.0,2009-04-14,23.22,24.14,22.83,23.51,127067008.0,5361400,2317,23.511229,25.19,0.0012285614013656243,0.0
2147.0,2009-04-20,25.05,25.72,24.3,25.19,105822264.0,4250300,2530,25.190134,24.75,0.0,-0.00013404846191278352
2148.0,2009-04-21,24.89,25.43,24.15,24.89,77444992.0,3133900,2519,25.016771,23.81,0.0,-0.12677131652831974
2154.0,2009-04-29,23.3,24.3,23.1,23.92,55942124.0,2338500,2332,23.583576,24.89,-0.3364237976074236,0.0
2163.0,2009-05-13,25.2,25.87,24.99,25.24,82196072.0,3240400,2516,25.351076,24.94,0.0,-0.11107612609863438
2164.0,2009-05-14,25.2,25.2,24.48,24.93,80639344.0,3260500,2524,25.091402,24.62,0.0,-0.1614020538330081
2166.0,2009-05-18,24.68,24.99,24.4,24.86,53407160.0,2161100,2473,24.743814,23.65,0.0,0.11618553161621037
2170.0,2009-05-22,23.6,24.1,23.41,23.65,69436312.0,2932446,2370,23.814041,24.55,0.16404113769531392,0.0
2177.0,2009-06-04,25.06,25.7,24.7,25.46,133530088.0,5290358,2506,25.288881,27.01,-0.17111869812011804,0.0
2180.0,2009-06-09,25.6,26.85,24.94,26.81,195354096.0,7483794,2566,26.267464,26.09,0.0,0.5425363159179675
2181.0,2009-06-10,26.81,27.25,26.31,27.01,164923392.0,6108605,2681,26.777878,26.240000000000002,0.0,0.23212219238281406
2183.0,2009-06-12,26.7,26.7,25.28,25.51,99775424.0,3860241,2668,26.265963,26.82,0.7559626007080062,0.0
2196.0,2009-07-02,26.89,27.23,26.7,27.08,94732616.0,3511713,2672,26.984655,27.96,-0.09534461975097486,0.0
2204.0,2009-07-14,29.8,29.96,29.1,29.55,177814656.0,6051894,2944,29.750212,28.699999999999996,0.0,-0.20021171569824148
2206.0,2009-07-16,29.49,29.5,28.7,28.95,171134544.0,5932542,2939,29.352861,28.660000000000004,0.0,-0.402861404418946
2208.0,2009-07-20,28.64,28.78,28.45,28.7,236321248.0,8277254,2852,28.845161,28.640000000000004,0.0,-0.14516143798828196
2212.0,2009-07-24,28.76,28.85,28.35,28.64,151811936.0,5302637,2861,28.735815,27.18,0.0,-0.09581504821777287
2213.0,2009-07-27,28.51,28.62,28.31,28.6,81634488.0,2867377,2839,28.556166,27.680000000000003,0.0,0.043834304809571734
2220.0,2009-08-05,27.67,28.68,27.4,28.65,223752912.0,7975111,2771,28.157356,29.819999999999997,-0.49264373779296733,0.0
2222.0,2009-08-07,28.7,29.0,28.18,28.72,252710656.0,8808385,2848,28.679121,28.129999999999995,0.0,0.040878982543944176
2228.0,2009-08-17,27.0,27.6,26.05,26.45,108910808.0,4038173,2721,26.994839,27.8,0.5448387145996101,0.0
2236.0,2009-08-27,28.67,29.52,28.32,29.31,161876320.0,5567361,2865,28.889822,27.98,0.0,0.4201779937744128
2241.0,2009-09-03,28.19,29.02,27.81,29.0,87255576.0,3044459,2798,28.390564,29.979999999999997,-0.60943603515625,0.0
2257.0,2009-09-25,29.3,29.88,28.88,29.44,109143992.0,3737967,2929,29.632963,29.88,0.1929631805419909,0.0
2263.0,2009-10-13,30.0,30.0,28.85,29.01,171088592.0,5866641,2994,29.645855,28.660000000000004,0.0,-0.6358549499511703
2272.0,2009-10-26,29.46,30.5,29.21,30.31,301270560.0,9995557,2938,30.02052,32.13,-0.28948074340820185,0.0
2278.0,2009-11-04,32.3,35.1,32.3,34.7,276868320.0,8126808,3242,33.535007,34.67,0.0,1.1649925231933622
2280.0,2009-11-06,34.89,35.85,34.11,34.28,177422096.0,5122851,3486,34.821636,35.05,0.5416361999511707,0.0
2288.0,2009-11-18,36.5,36.5,35.8,36.0,99879280.0,2761913,3633,36.297604,35.44,0.0,-0.2976036071777344
2295.0,2009-11-27,34.5,35.9,34.1,34.65,174027296.0,4984262,3493,35.03622,36.28,0.3862205505371108,0.0
2304.0,2009-12-10,35.0,35.43,35.0,35.36,45130880.0,1283045,3491,35.19555,35.39,-0.16445098876953068,0.0
2310.0,2009-12-18,35.0,35.0,33.38,33.49,73925584.0,2176370,3514,34.374176,35.36,0.884176025390623,0.0
2315.0,2009-12-25,35.4,35.97,35.0,35.87,51363992.0,1443697,3536,35.55938,37.61,-0.3106204223632787,0.0
2319.0,2009-12-31,36.68,37.76,36.17,37.61,149749216.0,4038927,3660,37.044346,35.44,0.0,0.5656541442871088
2321.0,2010-01-05,36.85,37.2,36.0,36.95,99877688.0,2734529,3691,36.981754,35.53,0.0,-0.03175430297851278
2327.0,2010-01-13,35.2,37.0,35.02,36.72,140653856.0,3855378,3602,36.191586,38.59,-0.5284144592285145,0.0
2335.0,2010-01-25,35.66,35.99,35.02,35.52,62221876.0,1742939,3586,35.733097,34.94,0.0,-0.2130970764160125
2341.0,2010-02-02,34.65,35.11,33.9,34.15,48140632.0,1389124,3464,34.540836,33.47,0.0,-0.39083633422851705
2342.0,2010-02-03,34.0,34.6,33.45,34.12,63521640.0,1871291,3415,34.23089,33.22,0.0,-0.11088836669922131
2343.0,2010-02-04,34.15,34.57,34.0,34.22,43636288.0,1273908,3412,34.18891,34.01,0.0,0.031088562011717613
2345.0,2010-02-08,33.48,34.1,33.4,33.47,26664798.0,789838,3391,33.564526,35.31,0.09452560424804801,0.0
2347.0,2010-02-10,33.39,34.1,33.39,34.01,51083444.0,1514717,3322,33.562332,34.31,-0.4476678466796855,0.0
2352.0,2010-02-24,34.3,35.1,34.16,34.86,59725776.0,1716496,3431,34.677,34.73,0.0,0.18300186157226506
2353.0,2010-02-25,34.73,35.32,34.73,35.28,49626676.0,1412914,3486,35.004322,34.94,0.0,0.275677947998048
2360.0,2010-03-08,34.3,34.65,34.12,34.62,45156924.0,1313973,3429,34.516026,34.0,0.0,0.10397445678710682
2364.0,2010-03-12,34.5,34.58,33.68,34.0,48551376.0,1429019,3446,34.359188,33.6,0.0,-0.3591880798339844
2366.0,2010-03-16,33.0,33.21,32.7,32.88,43755700.0,1328160,3306,33.122746,33.38,0.24274551391601307,0.0
2368.0,2010-03-18,33.75,33.85,33.4,33.6,59824708.0,1779279,3374,33.587524,33.29,0.0,0.012475585937501421
2369.0,2010-03-19,33.61,33.75,33.3,33.52,30592330.0,914352,3360,33.58515,32.98,0.0,-0.06515167236327812
2373.0,2010-03-25,33.34,33.34,32.7,32.98,36264752.0,1103046,3329,33.094276,34.08,0.11427642822265938,0.0
2374.0,2010-03-26,33.22,33.53,32.68,33.36,57947588.0,1740271,3298,33.18413,34.43,-0.1758683776855463,0.0
2386.0,2010-04-14,34.86,35.9,34.75,35.7,168739568.0,4750446,3486,35.349045,36.85,-0.35095520019531534,0.0
2390.0,2010-04-20,35.06,37.1,34.18,36.85,255631056.0,7106327,3536,36.105904,37.36,-0.7440963745117202,0.0
2391.0,2010-04-21,36.9,38.59,36.88,37.84,304107680.0,8026380,3685,37.319366,36.19,0.0,0.5206335449218784
2394.0,2010-04-26,38.13,38.81,37.21,37.36,133389376.0,3502992,3817,38.014572,35.68,0.0,-0.6545721435546881
2396.0,2010-04-28,36.13,36.5,34.9,36.04,77408640.0,2179623,3619,36.18403,36.82,0.1440286254882821,0.0
2401.0,2010-05-06,36.8,36.99,35.67,35.74,84782752.0,2322368,3682,36.268456,35.0,0.0,-0.5284555053710918
2403.0,2010-05-10,35.53,36.2,34.99,36.13,61156440.0,1712584,3599,35.843433,35.48,0.0,0.28656661987304943
2410.0,2010-05-19,34.0,35.35,33.98,35.13,56957464.0,1635985,3417,34.60491,33.58,0.0,0.5250881958007838
2417.0,2010-05-28,34.35,35.08,34.34,34.56,88938024.0,2552137,3433,34.303684,34.61,-0.25631576538086165,0.0
2418.0,2010-05-31,34.4,35.18,34.25,34.55,65803576.0,1889267,3456,34.58004,34.89,0.030039978027346592,0.0
2424.0,2010-06-08,35.65,36.08,35.25,36.0,140530096.0,3935688,3558,35.6035,34.79,0.0,0.3964996337890625
2425.0,2010-06-09,36.14,36.35,35.75,36.35,214993936.0,5959098,3600,36.16496,34.83,0.0,0.18504104614257955
2429.0,2010-06-21,34.5,34.85,33.7,34.83,83352608.0,2428021,3479,34.79296,34.08,0.0,0.037038879394529545
2435.0,2010-06-29,33.65,33.7,32.25,32.49,132251448.0,4027518,3360,33.141544,30.5,0.0,-0.6515443420410136
2447.0,2010-07-15,32.0,32.17,31.2,31.4,80491376.0,2536921,3198,31.719654,32.2,0.31965408325195455,0.0
2449.0,2010-07-19,31.14,31.79,30.81,31.73,54017844.0,1711554,3117,31.255867,32.66,-0.4741329956054692,0.0
2457.0,2010-07-29,34.8,34.8,34.03,34.5,86799240.0,2525704,3480,34.63719,34.2,0.0,-0.1371917724609375
2463.0,2010-08-06,34.88,35.56,34.81,35.51,162509136.0,4616007,3503,35.196255,34.51,0.0,0.31374526977538864
2475.0,2010-08-24,34.69,35.05,34.1,35.02,86753096.0,2510741,3470,34.77262,36.66,-0.24737884521484688,0.0
2478.0,2010-08-27,35.1,35.28,34.8,35.2,41546632.0,1185927,3508,35.141605,37.02,-0.05839462280273722,0.0
2490.0,2010-09-14,37.91,37.97,37.45,37.91,107431192.0,2847496,65536,37.860096,40.0,-0.049904022216793464,0.0
2504.0,2010-10-14,36.93,37.1,36.02,36.09,355194496.0,9738507,65536,36.795254,36.99,0.705253753662106,0.0
2510.0,2010-10-22,36.16,36.95,36.06,36.29,199891168.0,5486547,65536,36.131214,35.77,0.0,0.15878585815429602
2513.0,2010-10-27,36.77,37.08,36.25,36.34,182322384.0,4972074,65536,36.3431,35.8,0.0,-0.0031015014648403394
2532.0,2010-11-23,35.39,35.44,34.28,34.83,115017368.0,3313393,65536,34.86474,36.09,0.034738464355470455,0.0
2541.0,2010-12-06,34.73,34.9,33.85,34.06,83714008.0,2446205,65536,34.446426,36.52,0.3864263916015602,0.0
2544.0,2010-12-10,35.33,36.0,35.3,35.94,107774720.0,3014654,65536,35.653458,36.03,-0.2865423583984352,0.0
2549.0,2010-12-17,35.9,36.2,35.86,35.95,73042784.0,2029490,65536,36.185562,34.79,0.0,-0.23556213378905966
2554.0,2010-12-24,34.8,35.2,34.3,34.49,83104208.0,2404111,65536,34.77527,33.79,0.0,-0.285268554687498
2558.0,2010-12-30,33.76,34.25,33.6,33.79,65817100.0,1939363,65536,33.749283,34.47,-0.04071716308593665,0.0
2563.0,2011-01-07,34.7,35.21,34.5,35.06,156455136.0,4482403,65536,34.817204,33.63,0.0,0.24279647827148665
